Country,Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD,Total_Budget_Growth_Pct,Total_Budget_Roll5,Social_Spend_Pct,Guns_Butter_Ratio,Era
France,1994,4.81,10.35,5.0,5.0,735.109,11.23,7.48,14.97,26.19,14.97,35.359,76.084,36.755,36.755,82.553,54.986,110.046,192.525,110.046,5.755862465832262,667.181,56.51,0.08511767828702885,Post-Cold-War (1992-2007)
France,1995,4.49,10.76,5.0,5.0,914.509,11.21,7.47,14.95,26.16,14.95,41.061,98.401,45.725,45.725,102.516,68.314,136.719,239.236,136.719,24.4045440880196,731.3266,56.870000000000005,0.07895199577984878,Post-Cold-War (1992-2007)
France,1996,4.35,10.6,5.0,5.0,917.377,11.26,7.51,15.01,26.27,15.01,39.906,97.242,45.869,45.869,103.297,68.895,137.698,240.995,137.698,0.3136109103354823,792.2554,56.879999999999995,0.07647679324894514,Post-Cold-War (1992-2007)
France,1997,4.31,10.58,5.0,5.0,836.159,11.27,7.51,15.02,26.29,15.02,36.038,88.466,41.808,41.808,94.235,62.796,125.591,219.826,125.591,-8.853284963542796,819.6508,56.89,0.0757602390578309,Post-Cold-War (1992-2007)
France,1998,4.16,10.58,5.0,5.0,832.042,11.29,7.53,15.05,26.34,15.05,34.613,88.03,41.602,41.602,93.937,62.653,125.222,219.16,125.222,-0.4923704702096132,847.0391999999999,56.97,0.07302088818676497,Post-Cold-War (1992-2007)
France,1999,4.1,9.48,5.0,5.0,822.927,11.46,7.64,15.29,26.75,15.29,33.74,78.013,41.146,41.146,94.307,62.872,125.826,220.133,125.826,-1.0954975830547053,864.6028,56.52,0.07254069355980183,Post-Cold-War (1992-2007)
France,2000,3.98,9.48,5.0,5.0,731.378,11.48,7.65,15.31,26.79,15.31,29.109,69.335,36.569,36.569,83.962,55.95,111.974,195.936,111.974,-11.124802078434659,827.9766,56.58,0.07034287734181689,Post-Cold-War (1992-2007)
France,2001,3.86,9.48,5.0,5.0,742.799,11.5,7.67,15.33,26.83,15.33,28.672,70.417,37.14,37.14,85.422,56.973,113.871,199.293,113.871,1.5615728118701933,793.061,56.64,0.0681497175141243,Post-Cold-War (1992-2007)
France,2002,3.82,9.48,5.0,5.0,827.28,11.51,7.67,15.34,26.85,15.34,31.602,78.426,41.364,41.364,95.22,63.452,126.905,222.125,126.905,11.373332489677557,791.2852,56.67,0.06740779954120345,Post-Cold-War (1992-2007)
France,2003,3.87,9.48,5.0,5.0,1022.298,11.5,7.66,15.33,26.83,15.33,39.563,96.914,51.115,51.115,117.564,78.308,156.718,274.282,156.718,23.573397156948083,829.3363999999999,56.64,0.06832627118644068,Post-Cold-War (1992-2007)
France,2004,3.92,9.48,5.0,5.0,1158.453,11.49,7.66,15.32,26.81,15.32,45.411,109.821,57.923,57.923,133.106,88.738,177.475,310.581,177.475,13.31852356162293,896.4415999999999,56.61,0.06924571630453984,Post-Cold-War (1992-2007)
France,2005,3.74,9.48,5.0,5.0,1204.628,11.52,7.68,15.36,26.87,15.36,45.053,114.199,60.231,60.231,138.773,92.515,185.031,323.684,185.031,3.9859191525249527,991.0916000000001,56.71,0.06594956797742903,Post-Cold-War (1992-2007)
France,2006,3.68,9.48,5.0,5.0,1259.771,11.53,7.68,15.37,26.9,15.37,46.36,119.426,62.989,62.989,145.252,96.75,193.627,338.878,193.627,4.577595739099549,1094.486,56.74999999999999,0.06484581497797358,Post-Cold-War (1992-2007)
France,2007,3.56,9.48,5.0,5.0,1432.707,11.54,7.7,15.39,26.94,15.39,51.004,135.821,71.635,71.635,165.334,110.318,220.494,385.971,220.494,13.727574297233392,1215.5714,56.81,0.06266502376342194,Post-Cold-War (1992-2007)
France,2008,3.5,9.48,5.0,5.0,1590.247,11.55,7.7,15.4,26.96,15.4,55.659,150.755,79.512,79.512,183.674,122.449,244.898,428.731,244.898,10.995967772894243,1329.1612,56.839999999999996,0.06157635467980296,Post-GFC (2008-2019)
France,2009,3.62,9.48,5.0,5.0,1569.928,11.54,7.69,15.38,26.92,15.38,56.831,148.829,78.496,78.496,181.17,120.727,241.455,422.625,241.455,-1.2777260387851652,1411.4562,56.78000000000001,0.06375484325466713,Post-GFC (2008-2019)
France,2010,3.41,9.48,5.0,5.0,1579.515,11.57,7.71,15.42,26.99,15.42,53.861,149.738,78.976,78.976,182.75,121.781,243.561,426.311,243.561,0.6106649476918635,1486.4335999999998,56.89,0.05994023554227457,Post-GFC (2008-2019)
France,2011,3.31,9.48,5.0,5.0,1652.486,11.58,7.72,15.44,27.02,15.44,54.697,156.656,82.624,82.624,191.358,127.572,255.144,446.502,255.144,4.619835835683728,1564.9766,56.94,0.05813136635054444,Post-GFC (2008-2019)
France,2012,3.23,9.48,5.0,5.0,1564.233,11.59,7.73,15.46,27.05,15.46,50.525,148.289,78.212,78.212,181.295,120.915,241.83,423.125,241.83,-5.340620132333962,1591.2818,56.99,0.05667660993156694,Post-GFC (2008-2019)
France,2013,3.15,9.48,5.0,5.0,1659.897,11.61,7.74,15.47,27.08,15.47,52.287,157.358,82.995,82.995,192.714,128.476,256.786,449.5,256.786,6.115712940463469,1605.2118,57.03,0.05523408732246186,Post-GFC (2008-2019)
France,2014,3.18,9.48,5.0,5.0,1688.201,11.6,7.73,15.47,27.07,15.47,53.685,160.041,84.41,84.41,195.831,130.498,261.165,456.996,261.165,1.7051660434352245,1628.8663999999999,57.019999999999996,0.05576990529638724,Post-GFC (2008-2019)
France,2015,3.25,9.48,5.0,5.0,1421.423,11.59,7.73,15.46,27.05,15.46,46.196,134.751,71.071,71.071,164.743,109.876,219.752,384.495,219.752,-15.802502190201285,1597.248,56.99,0.05702754869275311,Post-GFC (2008-2019)
France,2016,3.23,9.48,5.0,5.0,1428.796,11.59,7.73,15.46,27.05,15.46,46.15,135.45,71.44,71.44,165.598,110.446,220.892,386.489,220.892,0.5187055507051674,1552.5099999999998,56.99,0.05667660993156694,Post-GFC (2008-2019)
France,2017,3.21,9.48,5.0,5.0,1507.146,11.6,7.73,15.46,27.06,15.46,48.379,142.877,75.357,75.357,174.829,116.502,233.005,407.834,233.005,5.4836379721107775,1541.0926,57.0,0.05631578947368421,Post-GFC (2008-2019)
France,2018,3.27,9.62,5.0,5.0,1573.685,11.57,7.71,15.42,26.99,15.42,51.459,151.388,78.684,78.684,182.075,121.331,242.662,424.737,242.662,4.414900746178541,1523.8502,57.03,0.05733824302998422,Post-GFC (2008-2019)
France,2019,3.35,9.7,5.0,5.0,1500.845,11.54,7.7,15.39,26.93,15.39,50.278,145.582,75.042,75.042,173.198,115.565,230.98,404.178,230.98,-4.628626440488404,1486.3790000000001,57.019999999999996,0.058751315327955106,Post-GFC (2008-2019)
France,2020,3.28,9.17,5.0,5.0,1652.762,11.63,7.76,15.51,27.14,15.51,54.211,151.558,82.638,82.638,192.216,128.254,256.343,448.56,256.343,10.122097884858183,1532.6468,56.82,0.05772615276311158,COVID era (2020+)
France,2021,3.33,9.11,5.0,5.0,1781.4,11.63,7.76,15.51,27.15,15.51,59.321,162.286,89.07,89.07,207.177,138.237,276.295,483.65,276.295,7.783213796057753,1603.1676,56.769999999999996,0.05865774176501674,COVID era (2020+)
France,2022,3.35,9.12,5.0,5.0,1640.251,11.63,7.75,15.51,27.14,15.51,54.948,149.591,82.013,82.013,190.761,127.119,254.403,445.164,254.403,-7.923487144942188,1629.7885999999999,56.769999999999996,0.05901004051435618,COVID era (2020+)
France,2023,3.42,9.12,5.0,5.0,1734.881,11.62,7.75,15.49,27.11,15.49,59.333,158.221,86.744,86.744,201.593,134.453,268.733,470.326,268.733,5.7692389762298735,1662.0277999999998,56.72,0.06029619181946403,COVID era (2020+)
France,2024,3.59,9.12,5.0,5.0,1794.026,11.59,7.73,15.46,27.05,15.46,64.406,163.615,89.701,89.701,207.928,138.678,277.356,485.284,277.356,3.4091675452091463,1720.664,56.63,0.0633939607981635,COVID era (2020+)
France,2025,3.59,9.12,5.0,5.0,1910.89,11.59,7.73,15.46,27.05,15.46,68.601,174.273,95.544,95.544,221.472,147.712,295.424,516.896,295.424,6.514063898739475,1772.2896,56.63,0.0633939607981635,COVID era (2020+)
France,2026,3.59,9.12,5.0,5.0,1972.038,11.59,7.73,15.46,27.05,15.46,70.796,179.85,98.602,98.602,228.559,152.439,304.877,533.436,304.877,3.1999748808146933,1810.4172000000003,56.63,0.0633939607981635,COVID era (2020+)
Germany,1949,4.24,9.53,15.94,1.58,15.948,10.31,6.87,13.74,24.05,13.74,0.676,1.52,2.542,0.252,1.644,1.096,2.191,3.836,2.191,,15.948,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1950,4.24,9.53,15.94,1.58,16.746,10.31,6.87,13.74,24.05,13.74,0.71,1.596,2.669,0.265,1.726,1.15,2.301,4.027,2.301,5.003762227238506,16.347,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1951,4.24,9.53,15.94,1.58,17.583,10.31,6.87,13.74,24.05,13.74,0.746,1.676,2.803,0.278,1.813,1.208,2.416,4.229,2.416,4.998208527409531,16.759,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1952,4.24,9.53,15.94,1.58,18.462,10.31,6.87,13.74,24.05,13.74,0.783,1.759,2.943,0.292,1.903,1.268,2.537,4.44,2.537,4.999146903258844,17.18475,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1953,4.24,9.53,15.94,1.58,19.385,10.31,6.87,13.74,24.05,13.74,0.822,1.847,3.09,0.306,1.999,1.332,2.664,4.662,2.664,4.9994583468746745,17.6248,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1954,4.24,9.53,15.94,1.58,20.354,10.31,6.87,13.74,24.05,13.74,0.863,1.94,3.245,0.322,2.099,1.398,2.797,4.895,2.797,4.998710343048729,18.505999999999997,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1955,4.24,9.53,15.94,1.58,21.372,10.31,6.87,13.74,24.05,13.74,0.906,2.037,3.407,0.338,2.203,1.468,2.937,5.14,2.937,5.001473911761822,19.431199999999997,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1956,4.24,9.53,15.94,1.58,22.441,10.31,6.87,13.74,24.05,13.74,0.951,2.139,3.577,0.355,2.314,1.542,3.083,5.397,3.083,5.001871607711017,20.4028,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1957,4.24,9.53,15.94,1.58,23.563,10.31,6.87,13.74,24.05,13.74,0.999,2.246,3.756,0.372,2.429,1.619,3.238,5.667,3.238,4.999777193529709,21.423,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1958,4.24,9.53,15.94,1.58,24.741,10.31,6.87,13.74,24.05,13.74,1.049,2.358,3.944,0.391,2.551,1.7,3.399,5.95,3.399,4.999363408734037,22.4942,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1959,4.24,9.53,15.94,1.58,25.978,10.31,6.87,13.74,24.05,13.74,1.101,2.476,4.141,0.41,2.678,1.785,3.569,6.248,3.569,4.999797906309378,23.619,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1960,4.24,9.53,15.94,1.58,27.277,10.31,6.87,13.74,24.05,13.74,1.157,2.599,4.348,0.431,2.812,1.874,3.748,6.56,3.748,5.000384941104019,24.8,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1961,4.24,9.53,15.94,1.58,31.125,10.31,6.87,13.74,24.05,13.74,1.32,2.966,4.961,0.492,3.209,2.138,4.277,7.486,4.277,14.107123217362606,26.5368,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1962,4.24,9.53,15.94,1.58,34.135,10.31,6.87,13.74,24.05,13.74,1.447,3.253,5.441,0.539,3.519,2.345,4.69,8.209,4.69,9.670682730923685,28.6512,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1963,4.24,9.53,15.94,1.58,36.178,10.31,6.87,13.74,24.05,13.74,1.534,3.448,5.767,0.572,3.73,2.485,4.971,8.701,4.971,5.985059323275221,30.938599999999997,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1964,4.24,9.53,15.94,1.58,39.755,10.31,6.87,13.74,24.05,13.74,1.686,3.789,6.337,0.628,4.099,2.731,5.462,9.561,5.462,9.887224279949148,33.694,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1965,4.24,9.53,15.94,1.58,43.444,10.31,6.87,13.74,24.05,13.74,1.842,4.14,6.925,0.686,4.479,2.985,5.969,10.448,5.969,9.279335932587095,36.9274,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1966,4.24,9.53,15.94,1.58,46.194,10.31,6.87,13.74,24.05,13.74,1.959,4.402,7.363,0.73,4.763,3.174,6.347,11.11,6.347,6.329988030568079,39.9412,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1967,4.24,9.53,15.94,1.58,46.773,10.31,6.87,13.74,24.05,13.74,1.983,4.457,7.456,0.739,4.822,3.213,6.427,11.249,6.427,1.2534095337056739,42.4688,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1968,4.24,9.53,15.94,1.58,50.456,10.31,6.87,13.74,24.05,13.74,2.139,4.808,8.043,0.797,5.202,3.466,6.933,12.135,6.933,7.874200927885755,45.324400000000004,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1969,4.24,9.53,15.94,1.58,57.292,10.31,6.87,13.74,24.05,13.74,2.429,5.46,9.132,0.905,5.907,3.936,7.872,13.779,7.872,13.548438243221806,48.8318,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1970,4.24,9.53,15.94,1.58,69.83,10.31,6.87,13.74,24.05,13.74,2.961,6.655,11.131,1.103,7.199,4.797,9.595,16.794,9.595,21.884381763597016,54.109,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1971,4.24,9.53,15.94,1.58,80.877,10.31,6.87,13.74,24.05,13.74,3.429,7.708,12.892,1.278,8.338,5.556,11.113,19.451,11.113,15.819848202778175,61.0456,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1972,4.24,9.53,15.94,1.58,96.994,10.31,6.87,13.74,24.05,13.74,4.113,9.244,15.461,1.533,10.0,6.664,13.327,23.327,13.327,19.927791584752153,71.0898,63.26,0.06702497628833387,Cold War (1946-1991)
Germany,1973,4.24,9.53,15.94,1.62,131.552,10.3,6.87,13.73,24.04,13.73,5.578,12.537,20.969,2.131,13.55,9.038,18.062,31.625,18.062,35.62900797987503,87.309,63.239999999999995,0.0670461733080329,Cold War (1946-1991)
Germany,1974,4.24,9.53,15.94,1.83,158.536,10.27,6.85,13.69,23.96,13.69,6.722,15.109,25.271,2.901,16.282,10.86,21.704,37.985,21.704,20.51204086596936,107.5578,63.12,0.06717363751584285,Cold War (1946-1991)
Germany,1975,4.24,9.53,15.94,1.91,192.685,10.26,6.84,13.68,23.93,13.68,8.17,18.363,30.714,3.68,19.769,13.18,26.359,46.109,26.359,21.540217994651066,132.1288,63.08,0.06721623335447052,Cold War (1946-1991)
Germany,1976,4.24,9.53,15.94,2.27,205.451,10.2,6.8,13.6,23.81,13.6,8.711,19.58,32.749,4.664,20.956,13.971,27.941,48.918,27.941,6.625321119962635,157.04360000000003,62.88,0.06743002544529263,Cold War (1946-1991)
Germany,1977,4.24,9.53,15.94,2.61,238.094,10.15,6.77,13.54,23.69,13.54,10.095,22.69,37.952,6.214,24.167,16.119,32.238,56.405,32.238,15.888460022097718,185.2636,62.699999999999996,0.06762360446570974,Cold War (1946-1991)
Germany,1978,4.24,9.53,15.94,2.71,293.466,10.14,6.76,13.52,23.65,13.52,12.443,27.967,46.778,7.953,29.757,19.838,39.677,69.405,39.677,23.25636093307686,217.6464,62.64,0.06768837803320563,Cold War (1946-1991)
Germany,1979,4.24,9.53,15.94,2.96,342.879,10.1,6.73,13.47,23.57,13.47,14.538,32.676,54.655,10.149,34.631,23.076,46.186,80.816,46.186,16.83772566498334,254.51499999999996,62.51,0.06782914733642617,Cold War (1946-1991)
Germany,1980,4.24,9.53,15.94,3.22,386.958,10.06,6.71,13.41,23.47,13.41,16.407,36.877,61.681,12.46,38.928,25.965,51.891,90.819,51.891,12.855555458339541,293.3696,62.349999999999994,0.06800320769847636,Cold War (1946-1991)
Germany,1981,4.24,9.53,15.94,3.85,336.048,9.97,6.64,13.29,23.25,13.29,14.248,32.025,53.566,12.938,33.504,22.314,44.661,78.131,44.661,-13.156466593273697,319.489,62.01,0.06837606837606838,Cold War (1946-1991)
Germany,1982,4.24,9.53,15.94,4.53,329.022,9.86,6.58,13.15,23.02,13.15,13.951,31.356,52.446,14.905,32.442,21.65,43.266,75.741,43.266,-2.090772746750469,337.6746,61.63999999999999,0.06878650227125245,Cold War (1946-1991)
Germany,1983,4.24,9.53,15.94,5.29,321.341,9.75,6.5,13.0,22.75,13.0,13.625,30.624,51.222,16.999,31.331,20.887,41.774,73.105,41.774,-2.3344943499218895,343.2496,61.22,0.06925841228356747,Cold War (1946-1991)
Germany,1984,4.24,9.53,15.94,5.23,304.712,9.76,6.51,13.01,22.77,13.01,12.92,29.039,48.571,15.936,29.74,19.837,39.643,69.383,39.643,-5.174876533028783,335.61620000000005,61.24999999999999,0.06922448979591837,Cold War (1946-1991)
Germany,1985,4.24,9.53,15.94,5.35,302.765,9.74,6.49,12.99,22.73,12.99,12.837,28.853,48.261,16.198,29.489,19.649,39.329,68.818,39.329,-0.6389640053558798,318.7776,61.190000000000005,0.06929236803399248,Cold War (1946-1991)
Germany,1986,4.24,9.53,15.94,5.35,425.378,9.74,6.49,12.99,22.73,12.99,18.036,40.539,67.805,22.758,41.432,27.607,55.257,96.688,55.257,40.497745776427266,336.6436,61.190000000000005,0.06929236803399248,Cold War (1946-1991)
Germany,1987,4.24,9.53,15.94,5.25,536.371,9.76,6.5,13.01,22.76,13.01,22.742,51.116,85.498,28.159,52.35,34.864,69.782,122.078,69.782,26.092792763142427,378.11339999999996,61.24,0.06923579359895493,Cold War (1946-1991)
Germany,1988,4.24,9.53,15.94,5.22,574.204,9.76,6.51,13.01,22.77,13.01,24.346,54.722,91.528,29.973,56.042,37.381,74.704,130.746,74.704,7.05351333312203,428.686,61.24999999999999,0.06922448979591837,Cold War (1946-1991)
Germany,1989,4.24,9.53,15.94,5.05,551.094,9.79,6.52,13.05,22.83,13.05,23.366,52.519,87.844,27.83,53.952,35.931,71.918,125.815,71.918,-4.024702022277782,477.9624,61.349999999999994,0.0691116544417278,Cold War (1946-1991)
Germany,1990,4.24,9.53,15.94,4.93,701.561,9.8,6.54,13.07,22.87,13.07,29.746,66.859,111.829,34.587,68.753,45.882,91.694,160.447,91.694,27.303327562992873,557.7216000000001,61.410000000000004,0.06904412962058297,Cold War (1946-1991)
Germany,1991,4.24,9.53,15.94,5.17,931.952,9.77,6.51,13.02,22.79,13.02,39.515,88.815,148.553,48.182,91.052,60.67,121.34,212.392,121.34,32.8397673188789,659.0364,61.28,0.06919060052219321,Cold War (1946-1991)
Germany,1992,3.88,9.53,15.94,6.44,1070.471,9.63,6.42,12.84,22.47,12.84,41.534,102.016,170.633,68.938,103.086,68.724,137.448,240.535,137.448,14.863319140899955,765.8563999999999,60.78,0.06383678841724251,Post-Cold-War (1992-2007)
Germany,1993,3.47,9.53,15.94,6.37,1056.819,9.7,6.47,12.94,22.64,12.94,36.672,100.715,168.457,67.319,102.511,68.376,136.752,239.264,136.752,-1.2753264684423948,862.3794,61.05,0.05683865683865685,Post-Cold-War (1992-2007)
Germany,1994,3.18,9.34,15.94,6.78,1128.144,9.71,6.48,12.95,22.67,12.95,35.875,105.369,179.826,76.488,109.543,73.104,146.095,255.75,146.095,6.749027033011323,977.7894,60.900000000000006,0.052216748768472904,Post-Cold-War (1992-2007)
Germany,1995,2.69,9.45,15.94,6.12,1589.714,9.87,6.58,13.16,23.03,13.16,42.763,150.228,253.4,97.29,156.905,104.603,209.206,366.111,209.206,40.914103164135064,1155.42,61.58,0.04368301396557324,Post-Cold-War (1992-2007)
Germany,1996,2.94,8.23,15.94,7.16,1299.941,9.86,6.57,13.15,23.01,13.15,38.218,106.985,207.211,93.076,128.174,85.406,170.942,299.116,170.942,-18.227995727533376,1229.0178,60.330000000000005,0.0487319741422178,Post-Cold-War (1992-2007)
Germany,1997,2.88,9.2,15.94,7.18,1131.65,9.72,6.48,12.96,22.68,12.96,32.592,104.112,180.385,81.252,109.996,73.331,146.662,256.658,146.662,-12.94604908992023,1241.2536,60.78,0.04738400789733465,Post-Cold-War (1992-2007)
Germany,1998,2.86,9.2,15.94,7.18,1138.622,9.72,6.48,12.96,22.69,12.96,32.565,104.753,181.496,81.753,110.674,73.783,147.565,258.353,147.565,0.6160915477400275,1257.6142,60.79,0.047047211712452706,Post-Cold-War (1992-2007)
Germany,1999,2.85,10.07,15.94,6.77,1113.41,9.66,6.44,12.87,22.53,12.87,31.732,112.12,177.478,75.378,107.555,71.704,143.296,250.851,143.296,-2.214255477234761,1254.6673999999998,61.41,0.04640937957987299,Post-Cold-War (1992-2007)
Germany,2000,2.8,10.07,15.94,6.83,978.476,9.65,6.44,12.87,22.53,12.87,27.397,98.533,155.969,66.83,94.423,63.014,125.93,220.451,125.93,-12.118985818341855,1132.4198000000001,61.41,0.045595179938120824,Post-Cold-War (1992-2007)
Germany,2001,2.74,10.07,16.11,6.46,959.463,9.69,6.46,12.92,22.62,12.92,26.289,96.618,154.57,61.981,92.972,61.981,123.963,217.031,123.963,-1.9431237965979786,1064.3242,61.72,0.044394037589112124,Post-Cold-War (1992-2007)
Germany,2002,2.72,10.07,16.24,6.24,1039.516,9.71,6.47,12.95,22.65,12.95,28.275,104.679,168.817,64.866,100.937,67.257,134.617,235.45,134.617,8.343521323907233,1045.8973999999998,61.91,0.04393474398320143,Post-Cold-War (1992-2007)
Germany,2003,2.68,10.07,16.39,5.8,1267.11,9.76,6.51,13.01,22.77,13.01,33.959,127.598,207.679,73.492,123.67,82.489,164.851,288.521,164.851,21.89422769827494,1071.595,62.24,0.043059125964010285,Post-Cold-War (1992-2007)
Germany,2004,2.66,10.07,16.18,5.76,1372.007,9.8,6.53,13.07,22.86,13.07,36.495,138.161,221.991,79.028,134.457,89.592,179.321,313.641,179.321,8.278444649635809,1123.3144,62.18,0.04277902862656803,Post-Cold-War (1992-2007)
Germany,2005,2.63,10.07,16.39,5.58,1392.6,9.8,6.53,13.07,22.86,13.07,36.625,140.235,228.247,77.707,136.475,90.937,182.013,318.348,182.013,1.5009398640094318,1206.1392,62.39,0.042154191376823205,Post-Cold-War (1992-2007)
Germany,2006,2.6,10.07,16.62,5.64,1402.347,9.76,6.51,13.01,22.77,13.01,36.461,141.216,233.07,79.092,136.869,91.293,182.445,319.314,182.445,0.699913830245591,1294.716,62.47,0.04161997758924284,Post-Cold-War (1992-2007)
Germany,2007,2.65,10.07,17.07,5.85,1538.727,9.65,6.44,12.87,22.53,12.87,40.776,154.95,262.661,90.016,148.487,99.094,198.034,346.675,198.034,9.72512509386052,1394.5582,62.54,0.0423728813559322,Post-Cold-War (1992-2007)
Germany,2008,2.68,10.07,17.09,5.83,1698.574,9.65,6.43,12.87,22.52,12.87,45.522,171.046,290.286,99.027,163.912,109.218,218.606,382.519,218.606,10.388262505304713,1480.851,62.55,0.04284572342126299,Post-GFC (2008-2019)
Germany,2009,2.66,10.38,17.27,5.23,1698.865,9.67,6.45,12.89,22.56,12.89,45.19,176.342,293.394,88.851,164.28,109.577,218.984,383.264,218.984,0.017132017798449084,1546.2226,63.099999999999994,0.04215530903328051,Post-GFC (2008-2019)
Germany,2010,2.58,10.38,17.12,4.7,1710.578,9.78,6.52,13.04,22.83,13.04,44.133,177.558,292.851,80.397,167.295,111.53,223.059,390.525,223.059,0.6894603161522461,1609.8182000000002,63.37,0.04071327126400505,Post-GFC (2008-2019)
Germany,2011,2.61,10.79,17.61,5.39,1736.645,9.54,6.36,12.72,22.26,12.72,45.326,187.384,305.823,93.605,165.676,110.451,220.901,386.577,220.901,1.5238708787322253,1676.6778,63.379999999999995,0.04118018302303566,Post-GFC (2008-2019)
Germany,2012,2.7,10.72,17.82,4.93,1612.174,9.58,6.38,12.77,22.34,12.77,43.529,172.825,287.289,79.48,154.446,102.857,205.875,360.16,205.875,-7.1673255040609956,1691.3672,63.64999999999999,0.04241948153967008,Post-GFC (2008-2019)
Germany,2013,2.57,10.72,18.26,3.63,1709.756,9.72,6.48,12.96,22.69,12.96,43.941,183.286,312.202,62.064,166.188,110.792,221.584,387.944,221.584,6.052820601250253,1693.6036,64.63,0.03976481510134612,Post-GFC (2008-2019)
Germany,2014,2.53,10.85,18.73,3.28,1750.058,9.69,6.46,12.92,22.61,12.92,44.276,189.881,327.786,57.402,169.581,113.054,226.107,395.688,226.107,2.3571784511942084,1703.8421999999998,65.11,0.03885731838427277,Post-GFC (2008-2019)
Germany,2015,2.51,10.7,19.0,2.84,1507.437,9.74,6.5,12.99,22.74,12.99,37.837,161.296,286.413,42.811,146.824,97.983,195.816,342.791,195.816,-13.863597663620297,1663.214,65.42999999999999,0.03836160782515666,Post-GFC (2008-2019)
Germany,2016,2.52,10.65,19.08,2.38,1553.096,9.8,6.54,13.07,22.88,13.07,39.138,165.405,296.331,36.964,152.203,101.572,202.99,355.348,202.99,3.028915967964174,1626.5041999999999,65.68,0.03836784409257003,Post-GFC (2008-2019)
Germany,2017,2.54,10.72,19.38,2.01,1662.392,9.8,6.54,13.07,22.87,13.07,42.225,178.208,322.172,33.414,162.914,108.72,217.275,380.189,217.275,7.037298402674397,1636.5477999999998,66.03999999999999,0.038461538461538464,Post-GFC (2008-2019)
Germany,2018,2.57,10.93,19.49,1.84,1780.172,9.78,6.52,13.03,22.81,13.03,45.75,194.573,346.956,32.755,174.101,116.067,231.956,406.057,231.956,7.084971534992945,1650.6309999999999,66.25999999999999,0.03878659824932086,Post-GFC (2008-2019)
Germany,2019,2.72,11.03,19.53,1.54,1771.008,9.78,6.52,13.04,22.81,13.04,48.171,195.342,345.878,27.274,173.205,115.47,230.939,403.967,230.939,-0.5147817177216574,1654.821,66.41,0.040957687095316976,Post-GFC (2008-2019)
Germany,2020,2.65,10.79,19.31,0.98,2032.716,9.94,6.63,13.25,23.2,13.25,53.867,219.33,392.518,19.921,202.052,134.769,269.335,471.59,269.335,14.77734713790111,1759.8768,66.55,0.039819684447783624,COVID era (2020+)
Germany,2021,2.56,10.58,19.96,0.88,2282.339,9.9,6.6,13.2,23.11,13.2,58.428,241.471,455.555,20.085,225.952,150.634,301.269,527.449,301.269,12.280269353908757,1905.7254,66.85,0.03829468960359013,COVID era (2020+)
Germany,2022,2.76,10.68,20.44,1.36,2100.861,9.71,6.48,12.95,22.67,12.95,57.984,224.372,429.416,28.572,203.994,136.136,272.061,476.265,272.061,-7.95140423924755,1993.4192000000003,66.74000000000001,0.04135451003895714,COVID era (2020+)
Germany,2023,3.08,10.68,19.21,1.36,2281.484,9.85,6.57,13.14,22.99,13.14,70.27,243.662,438.273,31.028,224.726,149.893,299.787,524.513,299.787,8.597570234299168,2093.6816,66.02,0.046652529536504096,COVID era (2020+)
Germany,2024,3.93,10.68,19.21,1.36,2343.186,9.72,6.48,12.96,22.69,12.96,92.087,250.252,450.126,31.867,227.758,151.838,303.677,531.669,303.677,2.7044677937693384,2208.1171999999997,65.53999999999999,0.059963381141287776,COVID era (2020+)
